,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
75,9fa26bc2,Vanja Milinković Savić,Torino,Serie A,202,92,Goalkeeper,Right,Serbia,25.66,Vanja Milinković Savić - 25.66 - Torino,1.28,3.34,2.31,69.1,0.34,0.24,0.41,0.14,13.8,0.24,0.24,0.0,0.0,0.0,0.07,0.17,0.0,1.17,0.28,-0.11,8.1,24.97,32.5,33.97,3.72,56.1,47.2,6.55,90.0,71.4,6.17,0.45,7.3,0.72,15.3
76,c1d95617,Lorenzo Montipò,Hellas Verona,Serie A,191,83,Goalkeeper,Right,,26.66,Lorenzo Montipò - 26.66 - Hellas Verona,1.49,4.46,2.86,66.7,0.32,0.27,0.41,0.08,8.1,0.05,0.0,0.05,0.0,100.0,0.03,0.22,0.03,1.38,0.3,-0.08,7.14,18.38,38.8,22.22,3.16,63.7,47.3,7.08,59.5,46.0,8.68,0.41,4.7,0.68,14.5
77,a111cf41,Juan Musso,Atalanta,Serie A,191,92,Goalkeeper,Right,Argentina,28.45,Juan Musso - 28.45 - Atalanta,1.3,3.58,2.45,66.4,0.5,0.26,0.26,0.29,27.9,0.12,0.1,0.0,0.02,0.0,0.0,0.12,0.1,1.11,0.28,-0.09,5.4,12.53,43.1,22.01,5.23,36.6,35.6,6.12,72.9,53.4,6.27,0.46,7.3,0.82,15.8
78,e9c0c1b2,André Onana,Inter,Serie A,185,82,Goalkeeper,Right,Cameroon,26.54,André Onana - 26.54 - Inter,1.0,4.13,3.38,78.8,0.63,0.13,0.25,0.38,37.5,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.13,1.34,0.29,0.46,6.38,14.5,44.0,29.0,4.13,37.5,35.5,8.38,43.3,39.8,9.63,0.5,5.2,0.25,11.6
79,79b0d6a0,Rui Patrício,Roma,Serie A,189,86,Goalkeeper,Left,Portugal,34.67,Rui Patrício - 34.67 - Roma,1.07,3.23,2.28,70.5,0.49,0.26,0.26,0.4,39.5,0.14,0.12,0.02,0.0,16.7,0.05,0.12,0.05,0.89,0.24,-0.13,4.74,10.44,45.4,20.09,3.53,40.5,36.3,6.33,36.4,33.5,6.95,0.14,2.0,0.35,13.1
80,4c62d0c8,Mattia Perin,Juventus,Serie A,188,73,Goalkeeper,Right,Italy,29.95,Mattia Perin - 29.95 - Juventus,1.08,3.91,2.99,76.6,0.25,0.33,0.42,0.42,41.7,0.25,0.17,0.08,0.0,33.3,0.0,0.0,0.08,1.25,0.27,0.25,3.82,8.64,44.2,25.6,4.82,27.9,31.9,5.24,28.6,32.4,8.64,0.08,1.0,0.58,12.2
81,277da414,Ivan Provedel,Lazio,Serie A,192,83,Goalkeeper,Right,Italy,28.58,Ivan Provedel - 28.58 - Lazio,1.49,4.61,3.39,73.6,0.32,0.23,0.44,0.32,32.6,0.37,0.28,0.02,0.07,7.7,0.07,0.16,0.07,1.56,0.28,0.13,8.3,20.18,41.1,31.95,4.4,48.2,41.8,7.36,64.8,50.2,8.74,0.6,6.8,0.85,14.9
82,67f649be,Ionuț Radu,Cremonese,Serie A,188,79,Goalkeeper,Right,Romania,25.39,Ionuț Radu - 25.39 - Cremonese,2.1,6.3,4.4,71.4,0.0,0.3,0.7,0.1,10.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,2.35,0.34,0.25,5.1,16.2,31.5,28.4,3.3,43.3,40.6,7.1,54.9,49.0,8.3,0.4,4.8,0.6,13.7
83,343f753a,Luigi Sepe,Salernitana,Serie A,185,76,Goalkeeper,Left,Italy,31.44,Luigi Sepe - 31.44 - Salernitana,1.57,4.79,3.42,71.3,0.24,0.47,0.31,0.12,11.5,0.24,0.2,0.04,0.0,16.7,0.0,0.12,0.0,1.59,0.29,0.02,8.52,19.12,44.6,27.29,3.34,52.5,43.3,8.76,54.7,44.8,8.87,0.39,4.4,0.55,14.2
84,0d422df7,Marco Silvestri,Udinese,Serie A,191,79,Goalkeeper,Right,Italy,31.62,Marco Silvestri - 31.62 - Udinese,1.3,3.51,2.3,66.9,0.38,0.38,0.24,0.24,24.3,0.19,0.14,0.0,0.05,0.0,0.03,0.08,0.0,1.17,0.3,-0.13,5.38,13.92,38.6,20.24,3.19,50.2,41.0,7.03,53.5,43.7,7.62,0.43,5.7,0.19,11.7
